id,claim,negated_claim,label_original,label_negated
VL000002,Germany has banned pork from school canteens because it offends Muslim 'migrants.',Germany has not banned pork from school canteens because it offends Muslim 'migrants.'.,false,true
VL000005,"School closures will have little impact on COVID-19 control, review finds.","School closures will not have little impact on COVID-19 control, review finds.",true,false
VL000012,Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.,Wholly domestic communication between you and your wife can not go to New York to London and back and get caught up in the (NSA) database.,true,false
VL000013,New Findings Show Xience Stents Are as Safe and Effective as Others,New Findings Show Xience Stents Are not as Safe and Effective as Others.,false,true
VL000017,Chumlee from 'Pawn Stars' has passed away.,Chumlee from 'Pawn Stars' has not passed away.,false,true
VL000018,The seasonal flu kills more people every year in the U.S. than COVID-19 has to date.,The seasonal flu kills more people every year in the U.S. than COVID-19 has not to date.,false,true
VL000019,"Just on the issue of immigration alone, it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck.","Just on the issue of immigration alone, it is not next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck.",false,true
VL000020,"The 1918 influenza pandemic was called the ""Spanish Flu"" because it emanated from Spain.","The 1918 influenza pandemic was not called the ""Spanish Flu"" because it emanated from Spain.",false,true
VL000022,"Getting your hair washed at a beauty salon can, in rare cases, increase the chances of a stroke.","Getting your hair washed at a beauty salon can not, in rare cases, increase the chances of a stroke.",true,false
VL000025,"More ""25- to 34-year-olds are moving to Austin than any other city in America.","More ""25- to 34-year-olds are not moving to Austin than any other city in America.",false,true
VL000037,Women absorb and retain DNA from every man they have had sex with.,Women absorb and retain DNA from every man they have not had sex with.,false,true
VL000038,"Canada has legalized euthanasia, enabling parents to ""kill disabled children.","Canada has not legalized euthanasia, enabling parents to ""kill disabled children.",false,true
VL000040,A passenger plane was forced to make an emergency landing because one passenger's vagina had an offensive odor.,A passenger plane was not forced to make an emergency landing because one passenger's vagina had an offensive odor.,false,true
VL000044,A painting depicting J. Marion Sims' experiments on enslaved Black women is on display at the Alabama state Capitol.,A painting depicting J. Marion Sims' experiments on enslaved Black women is not on display at the Alabama state Capitol.,false,true
VL000050,"Governor Rauner has called every year for eliminating funding for afterschool programs for at-risk youth, homeless prevention services and programs that help autistic children.","Governor Rauner has not called every year for eliminating funding for afterschool programs for at-risk youth, homeless prevention services and programs that help autistic children.",true,false
VL000051,"The Centers for Disease Control and Prevention (CDC) has admitted that 98 million Americans were given cancer through polio shots contaminated with SV40, a cancer-causing virus found in monkeys.","The Centers for Disease Control and Prevention (CDC) has not admitted that 98 million Americans were given cancer through polio shots contaminated with SV40, a cancer-causing virus found in monkeys.",false,true
VL000052,"A stranger who stopped to change a tire on a disabled limo was rewarded for his efforts when the vehicle's passenger, Donald Trump, paid off his mortgage.","A stranger who stopped to change a tire on a disabled limo was not rewarded for his efforts when the vehicle's passenger, Donald Trump, paid off his mortgage.",false,true
VL000054,The Trump Administration’s policies have halted a research effort seeking a cure for HIV.,The Trump Administration’s policies have not halted a research effort seeking a cure for HIV.,true,false
VL000056,Selenium Supplements Might Give Modest Benefit Against Cholesterol,Selenium Supplements Might not Give Modest Benefit Against Cholesterol.,true,false
VL000057,“President Trump has come into contact with a potential coronavirus sufferer!”,“President Trump has not come into contact with a potential coronavirus sufferer!”.,false,true
VL000058,"The Democrat-backed health care reform plan ""will require (Americans) to subsidize abortion with their hard-earned tax dollars.","The Democrat-backed health care reform plan ""will not require (Americans) to subsidize abortion with their hard-earned tax dollars.",false,true
VL000059,Rhode Island’s teen binge drinking rate is double the national average.,Rhode Island’s teen binge drinking rate is not double the national average.,false,true
VL000063,Sanitizer will do nothing for the coronavirus.,Sanitizer will not do nothing for the coronavirus.,false,true
VL000065,"President Barack Obama’s budget threatens national security by proposing ""an Army of fewer personnel than we had before Pearl Harbor.","President Barack Obama’s budget threatens national security by proposing ""an Army of fewer personnel than we had not before Pearl Harbor.",false,true
VL000067,Baltimore mayor says her $500K book deal was a ‘mistake’.,Baltimore mayor says her $500K book deal was not a ‘mistake’.,true,false
VL000068,"Chain message Says ""special military helicopters will spray pesticide against the Corona virus in the skies all over the country.","Chain message Says ""special military helicopters will not spray pesticide against the Corona virus in the skies all over the country.",false,true
VL000069,Legionnaires' disease can be contracted from a face mask used repeatedly.,Legionnaires' disease can not be contracted from a face mask used repeatedly.,false,true
VL000070,Justin Bieber and Katy Perry made public statements warning that the music industry is run by pedophiles.,Justin Bieber and Katy Perry made public statements warning that the music industry is not run by pedophiles.,false,true
VL000078,Over half the people on disability are either anxious or their back hurts.,Over half the people on disability are not either anxious or their back hurts.,false,true
VL000079,People in Kansas have been jailed due to medical debt.,People in Kansas have not been jailed due to medical debt.,true,false
VL000085,"The ""Wall Street Journal"" (or another large news outlet) has published documents leaked from Walter Reed Medical Center which show President Donald Trump's ""true"" weight and prove a conspiracy to mislead the public.","The ""Wall Street Journal"" (or another large news outlet) has not published documents leaked from Walter Reed Medical Center which show President Donald Trump's ""true"" weight and prove a conspiracy to mislead the public.",false,true
VL000087,"Tom Barrett Says ""Scott Walker says he would ban stem cell research","Tom Barrett Says ""Scott Walker says he would not ban stem cell research.",false,true
VL000088,MRI Might Screen for Autism,MRI Might not Screen for Autism.,false,true
VL000093,Unfortunately we have documented instances where people defecated in the (Statehouse) building.,Unfortunately we have not documented instances where people defecated in the (Statehouse) building.,false,true
VL000094,Over-the-counter painkiller paracetamol is contaminated with the Machupo virus and should be avoided.,Over-the-counter painkiller paracetamol is not contaminated with the Machupo virus and should be avoided.,false,true
VL000095,"Jack Andraka, 15, came up with a “100 percent accurate” cancer-detection method that was “168 times faster, 26,000 times less expensive, and 400 times more sensitive” than current methods.","Jack Andraka, 15, came up with a “100 percent accurate” cancer-detection method that was not “168 times faster, 26,000 times less expensive, and 400 times more sensitive” than current methods.",false,true
VL000096,"“Presidential alerts” are capable of accessing the E911 chip in your phones, which provides the government full access to your location, microphone, camera and every function of your phone.","“Presidential alerts” are not capable of accessing the E911 chip in your phones, which provides the government full access to your location, microphone, camera and every function of your phone.",false,true
VL000100,"Nelson Wolff Says uncompensated health care costs absorbed by Texas hospitals are adding $1,800 a year to Texas private insurance rates.","Nelson Wolff Says uncompensated health care costs absorbed by Texas hospitals are not adding $1,800 a year to Texas private insurance rates.",false,true
VL000102,"Little Lauren Renee Pingel was in a car accident in Amarillo, Texas, and despite being strapped in a car seat, was severely injured.  Her grandmother has issued an email request for prayer.","Little Lauren Renee Pingel was not in a car accident in Amarillo, Texas, and despite being strapped in a car seat, was severely injured. Her grandmother has issued an email request for prayer.",true,false
VL000108,"In countries where there are higher, more strict gun laws, there is more gun violence.","In countries where there are not higher, more strict gun laws, there is more gun violence.",false,true
VL000111,"Under Hillary Clinton, State Department ""officials were sending official thank-yous to people who gave to the Clinton Foundation.","Under Hillary Clinton, State Department ""officials were not sending official thank-yous to people who gave to the Clinton Foundation.",false,true
VL000117,"Up to 70% of Americans have been infected with a “Vampire Fungus” from eating unhealthy foods that causes weight gain, skin problems and indigestion.","Up to 70% of Americans have been infected with a “Vampire Fungus” from eating unhealthy foods that does not cause weight gain, skin problems and indigestion.",false,true
VL000119,Britons warned some coronavirus lockdown measures could last months.,Britons warned some coronavirus lockdown measures could not last months.,true,false
VL000123,The number of new cases in South Korea is declining.,The number of new cases in South Korea is not declining.,true,false
VL000129,"Mitch McConnell Says he ""voted for even stronger protections (in the Violence Against Women Act) than Obama's agenda will allow.","Mitch McConnell Says he ""voted for even stronger protections (in the Violence Against Women Act) than Obama's agenda will not allow.",false,true
VL000131,A news reporter in Florida was diagnosed with cancer after a viewer spotted a lump in her throat during a broadcast.,A news reporter in Florida was not diagnosed with cancer after a viewer spotted a lump in her throat during a broadcast.,true,false
VL000132,Once-a-day AIDS pill may be OK’d soon,Once-a-day AIDS pill may not be OK’d soon.,false,true
VL000134,"The president looks like he was ahead of the curve – as you know, he talks about this all the time – on shutting down travel from China.","The president looks like he was not ahead of the curve – as you know, he talks about this all the time – on shutting down travel from China.",false,true
VL000141,Definitive tests for irritable bowel syndrome developed at Cedars-Sinai: New blood tests will speed up diagnosis for the most common GI disorder,Definitive tests for irritable bowel syndrome developed at Cedars-Sinai: New blood tests will not speed up diagnosis for the most common GI disorder.,false,true
VL000144,Testing Athletes’ Hearts May Cut Deaths,Testing Athletes’ Hearts May not Cut Deaths.,true,false
VL000146,"Brain scans may help diagnose neurological, psychiatric disorders","Brain scans may not help diagnose neurological, psychiatric disorders.",false,true
VL000148,"Women Taking Calcium Supplements May Risk Heart Health, Researchers Say","Women Taking Calcium Supplements May not Risk Heart Health, Researchers Say.",true,false
VL000153,Bill Gates has openly admitted that vaccinations are designed so that governments can depopulate the world.,Bill Gates has not openly admitted that vaccinations are designed so that governments can depopulate the world.,false,true
VL000154,"United States President Donald Trump's website is selling breathing masks bearing his slogan, ""Make America Great Again.","United States President Donald Trump's website is not selling breathing masks bearing his slogan, ""Make America Great Again.",false,true
VL000155,"Syria, insisting it is coronavirus-free, takes broad steps to prevent spread.","Syria, insisting it is not coronavirus-free, takes broad steps to prevent spread.",true,false
VL000169,Authorities in Mexico have seized a massive shipment of cocaine headed towards a U.S. government facility.,Authorities in Mexico have not seized a massive shipment of cocaine headed towards a U.S. government facility.,false,true
VL000172,Saturated fat could be good for you,Saturated fat could not be good for you.,false,true
VL000173,"Those who purchase hunting and fishing gear at Cabela’s (and other retailers) now have to pay a medical excise tax established under Obamacare, according to social media posts.","Those who purchase hunting and fishing gear at Cabela’s (and other retailers) now have not to pay a medical excise tax established under Obamacare, according to social media posts.",false,true
VL000174,"Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.","Earlier this year, [John DePetro] was not accused of sexually assaulting a female co-worker.",false,true
VL000175,Massachusetts retailers can again sell pot vaping products.,Massachusetts retailers can not again sell pot vaping products.,true,false
VL000187,"In Chilean desert, global thirst for lithium is fueling a 'water war'.","In Chilean desert, global thirst for lithium is not fueling a 'water war'.",true,false
VL000190,Fertility supplements may help some women conceive,Fertility supplements may not help some women conceive.,true,false
VL000195,Health care worker in Grant County has mumps.,Health care worker in Grant County has not mumps.,true,false
VL000202,President Obama has changed the Oath of Allegiance so that new naturalized citizens don’t have to pledge to take up arms to defend the U.S.,President Obama has not changed the Oath of Allegiance so that new naturalized citizens don’t have to pledge to take up arms to defend the U.S.,false,true
VL000209,Cocoa mulch contains a chemical (theobromine) that can be harmful to pets.,Cocoa mulch contains a chemical (theobromine) that can not be harmful to pets.,true,false
VL000210,"Robotic surgery grows, but so do questions","Robotic surgery grows, but so do not questions.",true,false
VL000215,Progesterone may be key to preventing recurrent miscarriage,Progesterone may not be key to preventing recurrent miscarriage.,false,true
VL000217,"The Democratic health care bill in the House would ""create 53 new government bureaucracies.","The Democratic health care bill in the House would not ""create 53 new government bureaucracies.",false,true
VL000219,"This             email says that in the event of a heart attack when you are by             yourself, coughing repeatedly and vigorously can keep the heart             beating until help arrives.","This email says that in the event of a heart attack when you are not by yourself, coughing repeatedly and vigorously can keep the heart beating until help arrives.",false,true
VL000221,2020 Dems’ health care battle is decades in the making.,2020 Dems’ health care battle is not decades in the making.,true,false
VL000226,Older patients with knee pain may benefit from allograft transplant technique,Older patients with knee pain may not benefit from allograft transplant technique.,false,true
VL000227,Babies Should Eat Eggs and Peanuts Early to Avoid Food Allergies,Babies Should not Eat Eggs and Peanuts Early to Avoid Food Allergies.,false,true
VL000234,New studies say antibiotics are good for infants with confirmed ear infections,New studies say antibiotics are not good for infants with confirmed ear infections.,true,false
VL000235,Wedding guests should refrain from throwing rice at newly-wedded couples because the rice kills birds who eat it.,Wedding guests should not refrain from throwing rice at newly-wedded couples because the rice kills birds who eat it.,false,true
VL000238,Viagra may help heart effects of muscular dystrophy,Viagra may not help heart effects of muscular dystrophy.,false,true
VL000240,"The name Frank has risen in popularity by 20 percent"" since the debut of 'House of Cards' on Netflix.","The name Frank has not risen in popularity by 20 percent"" since the debut of 'House of Cards' on Netflix.",false,true
VL000241,"The state GOP ticket ""says their top priority is a career-long mission to outlaw abortion in all cases and ban some common forms of birth control.","The state GOP ticket ""says their top priority is not a career-long mission to outlaw abortion in all cases and ban some common forms of birth control.",false,true
VL000244,Drug May Delay Pancreatic Cancer Return,Drug May not Delay Pancreatic Cancer Return.,true,false
VL000248,Scientists find clues to why binge-drinking causes binge-eating.,Scientists find clues to why binge-drinking does not cause binge-eating.,true,false
VL000252,"States with ""the highest gun ownership rates also have the highest suicide rates.","States with ""the highest gun ownership rates also have not the highest suicide rates.",true,false
VL000253,“People are starting to enter ERs with fungal lung infections from wearing masks!!,“People are not starting to enter ERs with fungal lung infections from wearing masks!!.,false,true
VL000261,"A major part"" of the climate change bill sponsored by Sens. John Kerry and Joe Lieberman ""was essentially written by BP.","A major part"" of the climate change bill sponsored by Sens. John Kerry and Joe Lieberman ""was not essentially written by BP.",false,true
VL000263,"Tom Petri Says President Barack Obama’s debt commission recommended converting Medicare ""to a system where Medicare participants are given a voucher to purchase insurance in the private market.","Tom Petri Says President Barack Obama’s debt commission recommended converting Medicare ""to a system where Medicare participants are not given a voucher to purchase insurance in the private market.",false,true
VL000264,Gabapentin is now considered the most dangerous drug in America and will surpass opioids as the largest prescription drug killer.,Gabapentin is not now considered the most dangerous drug in America and will surpass opioids as the largest prescription drug killer.,false,true
VL000266,Abaloparatide may help prevent fractures in postmenopausal women with osteoporosis,Abaloparatide may not help prevent fractures in postmenopausal women with osteoporosis.,true,false
VL000267,"People vaccinated for seasonal influenza face higher chances of catching SARS-COV-2, which causes COVID-19, or testing positive for the virus when they do not actually have it.","People vaccinated for seasonal influenza face higher chances of catching SARS-COV-2, which does not cause COVID-19, or testing positive for the virus when they do not actually have it.",false,true
VL000268,Gun homicide is down 49 percent in the past 12 years.,Gun homicide is not down 49 percent in the past 12 years.,false,true
VL000269,"Viral image Says two patients at Valley Regional Medical Center in Brownsville, Texas, “are being looked at” for possible coronavirus infections.","Viral image Says two patients at Valley Regional Medical Center in Brownsville, Texas, “are not being looked at” for possible coronavirus infections.",false,true
VL000271,Ireland has mostly contained coronavirus outbreak: health chief.,Ireland has not mostly contained coronavirus outbreak: health chief.,true,false
VL000274,"Here in Wisconsin, we've put in previous budgets more money into mental health services than any governor has in the last 25 years.","Here in Wisconsin, we've put in previous budgets more money into mental health services than any governor has not in the last 25 years.",true,false
VL000275,"Sen. Elizabeth Warren ""doesn’t have any Indian blood.","Sen. Elizabeth Warren ""doesn’t have not any Indian blood.",false,true
VL000276,"Insurance companies ""have made a fortune with Obamacare.","Insurance companies ""have not made a fortune with Obamacare.",false,true
VL000277,"As of July 17, 2020, Nueces County in Texas had seen 85 positive COVID-19 tests among children aged under 1 year.","As of July 17, 2020, Nueces County in Texas had not seen 85 positive COVID-19 tests among children aged under 1 year.",false,true
